Season,Date,Left,Joined,MV,Fee,player
13/14,"Feb 27, 2014",1860 München II,1860 Munich,€100Th.,-,Julian Weigl
13/14,"Jul 1, 2013",TSV 1860 U19,1860 München II,-,-,Julian Weigl
12/13,"Jul 1, 2012",TSV 1860 U17,TSV 1860 U19,-,-,Julian Weigl
10/11,"Jul 1, 2010",Rosenheim Yth.,TSV 1860 U17,-,free transfer,Julian Weigl
06/07,"Jul 1, 2006",Ostermünchen,Rosenheim Yth.,-,free transfer,Julian Weigl
15/16,"Jul 16, 2015",Hamburger SV,Bay. Leverkusen,€6.00m,€7.50m,Jonathan Tah
14/15,"Jun 30, 2015",F. Düsseldorf,Hamburger SV,€4.00m,End of loan,Jonathan Tah
14/15,"Sep 1, 2014",Hamburger SV,F. Düsseldorf,€6.50m,loan transfer,Jonathan Tah
13/14,"Jul 1, 2013",Hamburg U19,Hamburger SV,-,-,Jonathan Tah
12/13,"Jul 1, 2012",Hamburg U17,Hamburg U19,-,-,Jonathan Tah
11/12,"Jul 1, 2011",Hamburg Yth.,Hamburg U17,-,-,Jonathan Tah
09/10,"Aug 4, 2009",Concordia Yth.,Hamburg Yth.,-,free transfer,Jonathan Tah
09/10,"Jul 1, 2009",Altona 93 Yth.,Concordia Yth.,-,free transfer,Jonathan Tah
17/18,"Jul 1, 2017",Werder Bremen,TSG Hoffenheim,€4.00m,free transfer,Florian Grillitsch
15/16,"Jul 1, 2015",W. Bremen II,Werder Bremen,€200Th.,-,Florian Grillitsch
14/15,"Jul 1, 2014",W. Bremen U19,W. Bremen II,€75Th.,-,Florian Grillitsch
13/14,"Jul 1, 2013",St. Pölten U18,W. Bremen U19,-,free transfer,Florian Grillitsch
11/12,"Jul 1, 2011",St. Pölten U16,St. Pölten U18,-,-,Florian Grillitsch
10/11,"Jul 1, 2010",St. Pölten U15,St. Pölten U16,-,-,Florian Grillitsch
08/09,"Jul 1, 2008",Pottschach Jgd,St. Pölten U15,-,?,Florian Grillitsch
17/18,"Aug 31, 2017",River Plate,Bay. Leverkusen,€12.00m,€24.00m,Lucas Alario
15/16,"Jul 1, 2015",CA Colón,River Plate,€50Th.,€2.00m,Lucas Alario
11/12,"Jul 1, 2011",CA Colón U20,CA Colón,-,-,Lucas Alario
17/18,"Jul 1, 2017",Olympique Lyon,FC Bayern ,€22.00m,€41.50m,Corentin Tolisso
14/15,"Jul 1, 2014",Olymp. Lyon B,Olympique Lyon,-,-,Corentin Tolisso
12/13,"Jul 1, 2012",Olymp. Lyon U19,Olymp. Lyon B,-,-,Corentin Tolisso
18/19,"Jan 29, 2019",Zenit S-Pb,Paris SG,€25.00m,€40.00m,Leandro Paredes
17/18,"Jul 1, 2017",AS Roma,Zenit S-Pb,€13.00m,€23.00m,Leandro Paredes
15/16,"Jun 30, 2016",FC Empoli,AS Roma,€6.00m,End of loan,Leandro Paredes
15/16,"Aug 31, 2015",AS Roma,FC Empoli,€3.50m,loan transfer,Leandro Paredes
15/16,"Jul 1, 2015",Boca Juniors,AS Roma,€3.70m,€6.00m,Leandro Paredes
14/15,"Jun 30, 2015",AS Roma,Boca Juniors,€3.70m,End of loan,Leandro Paredes
14/15,"Jul 1, 2014",Boca Juniors,AS Roma,€4.00m,Loan fee:€250Th.,Leandro Paredes
13/14,"Jun 30, 2014",Chievo Verona,Boca Juniors,€4.00m,End of loan,Leandro Paredes
13/14,"Jan 29, 2014",Boca Juniors,Chievo Verona,€3.50m,loan transfer,Leandro Paredes
12/13,"Jul 1, 2012",CABJ U20,Boca Juniors,€50Th.,-,Leandro Paredes
19/20,"Aug 7, 2019",Man City,Juventus,€20.00m,€37.00m,Danilo
17/18,"Jul 23, 2017",Real Madrid,Man City,€16.00m,€30.00m,Danilo
15/16,"Jul 1, 2015",FC Porto,Real Madrid,€20.00m,€31.50m,Danilo
11/12,"Dec 31, 2011",Santos FC,FC Porto,€10.00m,End of loan,Danilo
11/12,"Jul 2, 2011",FC Porto,Santos FC,€5.00m,loan transfer,Danilo
11/12,"Jul 1, 2011",Santos FC,FC Porto,€5.00m,€13.00m,Danilo
10/11,"Jul 1, 2010",América-MG,Santos FC,€600Th.,€900Th.,Danilo
08/09,"Jan 1, 2008",América-MG U17,América-MG,-,-,Danilo
17/18,"Aug 31, 2017",Arsenal,Liverpool,€22.00m,€38.00m,Alex Oxlade-Chamberlain
11/12,"Aug 8, 2011",Southampton,Arsenal,€2.50m,€13.80m,Alex Oxlade-Chamberlain
10/11,"Jul 1, 2010",Southampton U18,Southampton,€50Th.,-,Alex Oxlade-Chamberlain
09/10,"Jul 1, 2009",Southampton Aca,Southampton U18,-,-,Alex Oxlade-Chamberlain
20/21,"Sep 30, 2020",Chelsea,Aston Villa,€21.50m,loan transfer,Ross Barkley
17/18,"Jan 5, 2018",Everton,Chelsea,€25.00m,€16.80m,Ross Barkley
12/13,"Feb 11, 2013",Leeds,Everton,€4.50m,End of loan,Ross Barkley
12/13,"Jan 11, 2013",Everton,Leeds,€4.50m,loan transfer,Ross Barkley
12/13,"Nov 19, 2012",Sheff Wed,Everton,€4.50m,End of loan,Ross Barkley
12/13,"Sep 14, 2012",Everton,Sheff Wed,€4.50m,loan transfer,Ross Barkley
11/12,"Jul 1, 2011",Everton U18,Everton,-,-,Ross Barkley
09/10,"Jul 1, 2009",Everton Youth,Everton U18,-,-,Ross Barkley
20/21,"Aug 29, 2020",Valencia,Leeds,€40.00m,€30.00m,Rodrigo
15/16,"Jul 1, 2015",Benfica,Valencia,€20.00m,€30.00m,Rodrigo
14/15,"Jun 30, 2015",Valencia,Benfica,€20.00m,End of loan,Rodrigo
14/15,"Jul 23, 2014",Benfica,Valencia,€12.00m,loan transfer,Rodrigo
10/11,"Jun 30, 2011",Bolton,Benfica,€4.00m,End of loan,Rodrigo
10/11,"Aug 31, 2010",Benfica,Bolton,€4.50m,loan transfer,Rodrigo
10/11,"Jul 31, 2010",RM Castilla,Benfica,-,€6.00m,Rodrigo
09/10,"Jul 1, 2009",Celta U19,RM Castilla,-,?,Rodrigo
08/09,"Jul 1, 2008",Celta Vigo Yout,Celta U19,-,-,Rodrigo
19/20,"Aug 8, 2019",Sampdoria,Leicester,€24.00m,€19.20m,Dennis Praet
16/17,"Aug 24, 2016",RSC Anderlecht,Sampdoria,€9.00m,€8.00m,Dennis Praet
11/12,"Jul 1, 2011",Anderlecht U19,RSC Anderlecht,-,-,Dennis Praet
10/11,"Jul 1, 2010",KRC Genk U17,Anderlecht U19,-,€650Th.,Dennis Praet
09/10,"Jul 1, 2009",KRC Genk Youth,KRC Genk U17,-,-,Dennis Praet
03/04,"Jul 1, 2003",OH Leuven Yth.,KRC Genk Youth,-,free transfer,Dennis Praet
17/18,"Aug 31, 2017",Paris SG,Spurs,€15.00m,€25.00m,Serge Aurier
15/16,"Jul 1, 2015",Toulouse,Paris SG,€10.00m,€10.00m,Serge Aurier
14/15,"Jun 30, 2015",Paris SG,Toulouse,€10.00m,End of loan,Serge Aurier
14/15,"Jul 23, 2014",Toulouse,Paris SG,€6.50m,loan transfer,Serge Aurier
11/12,"Jan 26, 2012",Lens,Toulouse,€2.00m,€1.30m,Serge Aurier
10/11,"Jul 1, 2010",RC Lens B,Lens,-,-,Serge Aurier
09/10,"Dec 1, 2009",RC Lens U19,RC Lens B,-,-,Serge Aurier
20/21,"Jan 23, 2021",Real Sociedad,Wolves,€20.00m,loan transfer,Willian José
16/17,"Jul 31, 2016",Maldonado,Real Sociedad,€3.00m,€6.00m,Willian José
15/16,"Jun 30, 2016",UD Las Palmas,Maldonado,€3.00m,End of loan,Willian José
15/16,"Jul 30, 2015",Maldonado,UD Las Palmas,€1.50m,loan transfer,Willian José
14/15,"Jun 30, 2015",Real Zaragoza,Maldonado,€1.50m,End of loan,Willian José
14/15,"Aug 29, 2014",Maldonado,Real Zaragoza,€1.50m,loan transfer,Willian José
13/14,"Jun 30, 2014",RM Castilla,Maldonado,€1.50m,End of loan,Willian José
13/14,"Jan 8, 2014",Maldonado,RM Castilla,€1.50m,loan transfer,Willian José
13/14,"Dec 31, 2013",Santos FC,Maldonado,€1.50m,End of loan,Willian José
12/13,"Jun 1, 2013",Maldonado,Santos FC,€1.50m,loan transfer,Willian José
12/13,"May 31, 2013",Grêmio,Maldonado,€1.50m,End of loan,Willian José
12/13,"Jan 1, 2013",Maldonado,Grêmio,€1.50m,loan transfer,Willian José
12/13,"Dec 31, 2012",São Paulo,Maldonado,€1.50m,End of loan,Willian José
10/11,"Feb 1, 2011",Maldonado,São Paulo,€400Th.,loan transfer,Willian José
10/11,"Jan 1, 2011",Barueri,Maldonado,€400Th.,€1.00m,Willian José
09/10,"Jul 1, 2009",Barueri,Barueri,-,-,Willian José
14/15,"Jan 7, 2015",Malmö FF,RB Leipzig,€700Th.,€3.70m,Emil Forsberg
12/13,"Jan 1, 2013",GIF Sundsvall,Malmö FF,€175Th.,€300Th.,Emil Forsberg
08/09,"Jan 1, 2009",Sundsvall U19,GIF Sundsvall,-,-,Emil Forsberg
19/20,"Jul 1, 2019",Girona,Real Sociedad,€10.00m,€10.00m,Portu
16/17,"Jul 1, 2016",Albacete,Girona,€700Th.,free transfer,Portu
14/15,"Jul 5, 2014",Valencia B,Albacete,-,loan transfer,Portu
10/11,"Jul 1, 2010",Valencia U19,Valencia B,-,-,Portu
08/09,"Jul 1, 2008",Valencia CF You,Valencia U19,-,-,Portu
07/08,"Jul 1, 2007",Real Murcia You,Valencia CF You,-,free transfer,Portu
19/20,"Jul 17, 2019",Spurs,Atlético Madrid,€35.00m,€22.00m,Kieran Trippier
15/16,"Jul 1, 2015",Burnley,Spurs,€3.50m,€4.90m,Kieran Trippier
11/12,"Jan 4, 2012",Man City Res.,Burnley,€250Th.,?,Kieran Trippier
11/12,"Jan 3, 2012",Burnley,Man City Res.,€250Th.,End of loan,Kieran Trippier
11/12,"Jul 26, 2011",Man City Res.,Burnley,€250Th.,loan transfer,Kieran Trippier
10/11,"May 31, 2011",Barnsley FC,Man City Res.,€250Th.,End of loan,Kieran Trippier
10/11,"Aug 7, 2010",Man City Res.,Barnsley FC,€50Th.,loan transfer,Kieran Trippier
09/10,"Mar 7, 2010",Barnsley FC,Man City Res.,-,End of loan,Kieran Trippier
09/10,"Feb 9, 2010",Man City Res.,Barnsley FC,-,loan transfer,Kieran Trippier
09/10,"Jul 1, 2009",Man City U18,Man City Res.,-,-,Kieran Trippier
13/14,"Jul 1, 2013",Málaga CF,Real Madrid,€25.00m,€30.00m,Isco
11/12,"Jul 1, 2011",Valencia B,Málaga CF,-,€6.00m,Isco
09/10,"Jul 1, 2009",Valencia U19,Valencia B,-,-,Isco
16/17,"Jan 3, 2017",VfL Wolfsburg,Paris SG,€28.00m,€36.00m,Julian Draxler
15/16,"Aug 31, 2015",FC Schalke 04,VfL Wolfsburg,€22.00m,€43.00m,Julian Draxler
10/11,"Jan 18, 2011",Schalke 04 U19,FC Schalke 04,-,-,Julian Draxler
10/11,"Jul 1, 2010",Schalke 04 U17,Schalke 04 U19,-,-,Julian Draxler
08/09,"Jul 1, 2008",Schalke 04 Yth.,Schalke 04 U17,-,-,Julian Draxler
01/02,"Jul 1, 2001",SSV Buer Yth.,Schalke 04 Yth.,-,free transfer,Julian Draxler
00/01,"Jul 1, 2000",Rentfort Yth.,SSV Buer Yth.,-,free transfer,Julian Draxler
18/19,"Jul 3, 2018",Real Sociedad,Real Betis,€5.00m,free transfer,Sergio Canales
13/14,"Jan 31, 2014",Valencia,Real Sociedad,€5.00m,€3.50m,Sergio Canales
12/13,"Jul 19, 2012",Real Madrid,Valencia,€5.00m,€7.50m,Sergio Canales
11/12,"Jun 30, 2012",Valencia,Real Madrid,€5.00m,End of loan,Sergio Canales
11/12,"Aug 5, 2011",Real Madrid,Valencia,€6.00m,Loan fee:€2.00m,Sergio Canales
10/11,"Jul 1, 2010",Racing,Real Madrid,€6.00m,€6.00m,Sergio Canales
09/10,"Jul 1, 2009",Racing B,Racing,€600Th.,-,Sergio Canales
08/09,"Jul 1, 2008",Racing U19,Racing B,-,-,Sergio Canales
20/21,"Sep 1, 2020",Arsenal,AS Roma,€20.00m,free transfer,Henrikh Mkhitaryan
19/20,"Aug 31, 2020",AS Roma,Arsenal,€20.00m,End of loan,Henrikh Mkhitaryan
19/20,"Sep 2, 2019",Arsenal,AS Roma,€25.00m,Loan fee:€3.10m,Henrikh Mkhitaryan
17/18,"Jan 22, 2018",Man Utd,Arsenal,€35.00m,€34.00m,Henrikh Mkhitaryan
16/17,"Jul 6, 2016",Bor. Dortmund,Man Utd,€30.00m,€42.00m,Henrikh Mkhitaryan
13/14,"Jul 9, 2013",Shakhtar D.,Bor. Dortmund,€22.00m,€27.50m,Henrikh Mkhitaryan
10/11,"Aug 30, 2010",Metalurg D.,Shakhtar D.,€4.00m,€5.85m,Henrikh Mkhitaryan
09/10,"Jul 1, 2009",Pyunik Yerevan,Metalurg D.,€600Th.,€350Th.,Henrikh Mkhitaryan
06/07,"Jul 1, 2006",Pyunik II,Pyunik Yerevan,-,-,Henrikh Mkhitaryan
05/06,"Jul 1, 2005",FC Pyunik U18,Pyunik II,-,-,Henrikh Mkhitaryan
02/03,"Jun 30, 2003",São Paulo U17,FC Pyunik U18,-,End of loan,Henrikh Mkhitaryan
02/03,"Mar 1, 2003",FC Pyunik U18,São Paulo U17,-,loan transfer,Henrikh Mkhitaryan
19/20,"Jul 1, 2019",Arsenal,Juventus,€40.00m,free transfer,Aaron Ramsey
10/11,"Feb 28, 2011",Cardiff,Arsenal,€6.00m,End of loan,Aaron Ramsey
10/11,"Jan 31, 2011",Arsenal,Cardiff,€6.00m,loan transfer,Aaron Ramsey
10/11,"Dec 31, 2010",Nottm Forest,Arsenal,€6.00m,End of loan,Aaron Ramsey
10/11,"Nov 25, 2010",Arsenal,Nottm Forest,€6.00m,loan transfer,Aaron Ramsey
08/09,"Jul 1, 2008",Cardiff,Arsenal,€5.00m,€6.40m,Aaron Ramsey
07/08,"Jul 1, 2007",Cardiff U18,Cardiff,-,-,Aaron Ramsey
20/21,"Sep 19, 2020",Real Madrid,Spurs,€28.00m,loan transfer,Gareth Bale
13/14,"Sep 1, 2013",Spurs,Real Madrid,€65.00m,€101.00m,Gareth Bale
07/08,"Jul 1, 2007",Southampton,Spurs,€7.50m,€14.70m,Gareth Bale
06/07,"Jul 1, 2006",Southampton U18,Southampton,-,-,Gareth Bale
18/19,"Jul 3, 2018",Southampton,Ajax,€15.00m,€13.70m,Dusan Tadic
14/15,"Jul 8, 2014",Twente FC,Southampton,€10.00m,€14.00m,Dusan Tadic
12/13,"Jul 1, 2012",FC Groningen,Twente FC,€7.50m,€5.50m,Dusan Tadic
10/11,"Jul 1, 2010",Vojvodina,FC Groningen,€2.75m,€1.10m,Dusan Tadic
06/07,"Jul 1, 2006",Vojvodina U19,Vojvodina,-,-,Dusan Tadic
04/05,"Jan 1, 2005",Vojvodina U17,Vojvodina U19,-,-,Dusan Tadic
03/04,"Jul 1, 2003",Vojvodina U15,Vojvodina U17,-,-,Dusan Tadic
16/17,"Jun 30, 2017",Benevento,Cagliari Calcio,€3.50m,End of loan,Alessio Cragno
16/17,"Jul 13, 2016",Cagliari Calcio,Benevento,€1.80m,loan transfer,Alessio Cragno
15/16,"Jun 30, 2016",Virtus Lanciano,Cagliari Calcio,€1.30m,End of loan,Alessio Cragno
15/16,"Jan 26, 2016",Cagliari Calcio,Virtus Lanciano,€1.30m,loan transfer,Alessio Cragno
14/15,"Jul 12, 2014",Brescia,Cagliari Calcio,€1.80m,€1.60m,Alessio Cragno
12/13,"Jul 1, 2012",Brescia U19,Brescia,€200Th.,-,Alessio Cragno
11/12,"Jul 1, 2011",Brescia Youth,Brescia U19,€300Th.,-,Alessio Cragno
11/12,"Jan 1, 2012",Wolfsburg U19,VfL Wolfsburg,€150Th.,-,Maximilian Arnold
10/11,"Jan 1, 2011",Wolfsburg U17,Wolfsburg U19,-,-,Maximilian Arnold
09/10,"Jul 1, 2009",D. Dresden Yth.,Wolfsburg U17,-,free transfer,Maximilian Arnold
06/07,"Jul 1, 2006",SC Riesa Yth.,D. Dresden Yth.,-,free transfer,Maximilian Arnold
03/04,"Jul 1, 2003",SV Strehla Yth.,SC Riesa Yth.,-,free transfer,Maximilian Arnold
19/20,"Jul 1, 2019",R. Strasbourg B,R. Strasbourg,-,-,Mohamed Simakan
18/19,"Jul 1, 2018",Strasbourg U19,R. Strasbourg B,-,-,Mohamed Simakan
20/21,"Aug 19, 2020",Real Madrid,Bor. Dortmund,€22.50m,loan transfer,Reinier
19/20,"Jan 20, 2020",Flamengo,Real Madrid,€25.00m,€30.00m,Reinier
18/19,"Jan 1, 2019",Flamengo U20,Flamengo,-,-,Reinier
19/20,"Jan 31, 2020",Chelsea U23,Brighton,-,€3.30m,Tariq Lamptey
18/19,"Jul 1, 2018",Chelsea U18,Chelsea U23,-,-,Tariq Lamptey
17/18,"Jul 1, 2017",Chelsea Youth,Chelsea U18,-,-,Tariq Lamptey
20/21,"Jan 21, 2021",Club Brugge,Monaco,€18.00m,€16.70m,Krépin Diatta
17/18,"Jan 3, 2018",Sarpsborg 08,Club Brugge,€1.00m,€2.65m,Krépin Diatta
16/17,"Feb 26, 2017",Oslo FA Dakar ,Sarpsborg 08,-,€50Th.,Krépin Diatta
19/20,"Jan 17, 2020",Atalanta BC,Bologna,€5.00m,loan transfer,Musa Barrow
17/18,"Feb 1, 2018",Atalanta U19,Atalanta BC,€500Th.,-,Musa Barrow
16/17,"Feb 1, 2017",Hawks FC,Atalanta U19,-,€200Th.,Musa Barrow
19/20,"Jul 10, 2019",Junior FC,FC Porto,€2.00m,€7.22m,Luis Díaz
17/18,"Jul 1, 2017",Barranquilla FC,Junior FC,€75Th.,?,Luis Díaz
16/17,"Jul 1, 2016",Unknown,Barranquilla FC,-,-,Luis Díaz
19/20,"Jul 11, 2019",Brentford,Aston Villa,€3.50m,€13.30m,Ezri Konsa
18/19,"Jul 1, 2018",Charlton,Brentford,€500Th.,€2.85m,Ezri Konsa
16/17,"Jul 1, 2016",Charlton U18,Charlton,-,-,Ezri Konsa
18/19,"Jun 30, 2019",Vit. Guimarães,Shakhtar D.,€2.00m,End of loan,Dodô
18/19,"Jul 29, 2018",Shakhtar D.,Vit. Guimarães,€2.00m,loan transfer,Dodô
17/18,"Jan 4, 2018",Coritiba FC,Shakhtar D.,€2.00m,€2.00m,Dodô
15/16,"Mar 1, 2016",Coritiba FC U20,Coritiba FC,-,-,Dodô
19/20,"Jul 24, 2019",Fenerbahce,SSC Napoli,€10.00m,€16.10m,Eljif Elmas
17/18,"Jul 28, 2017",Rabotnicki,Fenerbahce,€500Th.,€180Th.,Eljif Elmas
15/16,"Oct 1, 2015",Rabotnicki Skopj,Rabotnicki,-,-,Eljif Elmas
17/18,"Aug 15, 2017",Liverpool FC,River Plate,€1.50m,€2.60m,Nicolás De La Cruz
15/16,"Jul 1, 2015",Liverpool U19,Liverpool FC,-,-,Nicolás De La Cruz
20/21,"Aug 7, 2020",Stade Reims,Monaco,€13.50m,€13.00m,Axel Disasi
17/18,"Nov 20, 2017",Stade Reims B,Stade Reims,€100Th.,-,Axel Disasi
16/17,"Jul 2, 2016",Paris FC,Stade Reims B,€100Th.,free transfer,Axel Disasi
15/16,"Nov 15, 2015",Paris FC B,Paris FC,€50Th.,-,Axel Disasi
15/16,"Jul 1, 2015",Senlis,Paris FC B,-,?,Axel Disasi
20/21,"Sep 1, 2020",RSC Anderlecht,AC Milan,€8.00m,€3.75m,Alexis Saelemaekers
19/20,"Aug 31, 2020",AC Milan,RSC Anderlecht,€8.00m,End of loan,Alexis Saelemaekers
19/20,"Jan 31, 2020",RSC Anderlecht,AC Milan,€7.00m,Loan fee:€3.25m,Alexis Saelemaekers
17/18,"Jan 1, 2018",Anderlecht U21,RSC Anderlecht,-,-,Alexis Saelemaekers
17/18,"Jul 1, 2017",Anderlecht U19,Anderlecht U21,-,-,Alexis Saelemaekers
16/17,"Jul 1, 2016",Anderlecht U17,Anderlecht U19,-,-,Alexis Saelemaekers
15/16,"Jul 1, 2015",Anderlecht Yth.,Anderlecht U17,-,-,Alexis Saelemaekers
19/20,"Jul 1, 2019",Juventus,Bologna,€15.00m,€15.00m,Riccardo Orsolini
18/19,"Jun 30, 2019",Bologna,Juventus,€15.00m,End of loan,Riccardo Orsolini
17/18,"Jan 31, 2018",Juventus,Bologna,€3.50m,loan transfer,Riccardo Orsolini
17/18,"Jan 30, 2018",Atalanta BC,Juventus,€3.50m,End of loan,Riccardo Orsolini
17/18,"Jul 14, 2017",Juventus,Atalanta BC,€3.50m,loan transfer,Riccardo Orsolini
16/17,"Jun 30, 2017",Ascoli,Juventus,€3.50m,End of loan,Riccardo Orsolini
16/17,"Jan 31, 2017",Juventus,Ascoli,€1.50m,loan transfer,Riccardo Orsolini
16/17,"Jan 30, 2017",Ascoli,Juventus,€1.50m,€6.00m,Riccardo Orsolini
16/17,"Jul 1, 2016",Ascoli U19,Ascoli,€400Th.,-,Riccardo Orsolini
14/15,"Jul 1, 2015",Ascoli U17,Ascoli U19,-,-,Riccardo Orsolini
19/20,"Jul 1, 2019",Villarreal,West Ham,€25.00m,€28.00m,Pablo Fornals
17/18,"Jul 24, 2017",Málaga CF,Villarreal,€10.00m,€12.00m,Pablo Fornals
15/16,"Jul 1, 2015",A. Malagueño,Málaga CF,-,-,Pablo Fornals
14/15,"Jul 1, 2014",Málaga U19,A. Malagueño,-,-,Pablo Fornals
12/13,"Jul 1, 2012",Castellón U19,Málaga U19,-,?,Pablo Fornals
08/09,"Jul 1, 2008",Villarreal Yth.,Castellón U19,-,?,Pablo Fornals
18/19,"May 31, 2019",West Brom,Everton,€7.00m,End of loan,Mason Holgate
18/19,"Jan 1, 2019",Everton,West Brom,€7.00m,loan transfer,Mason Holgate
15/16,"Aug 13, 2015",Barnsley FC,Everton,€75Th.,€1.40m,Mason Holgate
14/15,"Sep 25, 2014",Barnsley U18,Barnsley FC,-,-,Mason Holgate
19/20,"Jul 1, 2019",Birmingham,Southampton,€7.00m,€16.70m,Che Adams
16/17,"Aug 8, 2016",Sheff Utd,Birmingham,€350Th.,€2.20m,Che Adams
14/15,"Nov 14, 2014",Ilkeston,Sheff Utd,-,?,Che Adams
17/18,"Jul 1, 2017",Paris SG B,Bor. Dortmund,€125Th.,free transfer,Dan-Axel Zagadou
16/17,"Jul 1, 2016",Paris SG U19,Paris SG B,-,-,Dan-Axel Zagadou
15/16,"Jul 1, 2015",Paris SG U17,Paris SG U19,-,-,Dan-Axel Zagadou
14/15,"Jul 1, 2014",PSG Youth,Paris SG U17,-,-,Dan-Axel Zagadou
11/12,"Jul 1, 2011",Créteil Youth,PSG Youth,-,free transfer,Dan-Axel Zagadou
19/20,"Jan 14, 2020",América,Real Betis,€10.00m,€3.00m,Guido Rodríguez
17/18,"Jul 1, 2017",Club Tijuana,América,€2.50m,€6.28m,Guido Rodríguez
16/17,"Jul 1, 2016",River Plate,Club Tijuana,€1.25m,€1.75m,Guido Rodríguez
15/16,"Jun 30, 2016",Defensa,River Plate,€1.25m,End of loan,Guido Rodríguez
15/16,"Jan 12, 2016",River Plate,Defensa,€750Th.,loan transfer,Guido Rodríguez
14/15,"Jul 1, 2014",River Plate U20,River Plate,-,-,Guido Rodríguez
20/21,"Aug 11, 2020",Spurs,Southampton,€8.00m,€13.30m,Kyle Walker-Peters
19/20,"Jul 31, 2020",Southampton,Spurs,€8.00m,End of loan,Kyle Walker-Peters
19/20,"Jan 29, 2020",Spurs,Southampton,€10.00m,loan transfer,Kyle Walker-Peters
17/18,"Jul 1, 2017",Tottenham U23,Spurs,€250Th.,-,Kyle Walker-Peters
14/15,"Jul 1, 2014",Spurs U18,Tottenham U21,-,-,Kyle Walker-Peters
19/20,"Jan 1, 2020",Leeds,Arsenal,€8.00m,End of loan,Eddie Nketiah
19/20,"Aug 8, 2019",Arsenal,Leeds,€8.00m,loan transfer,Eddie Nketiah
18/19,"Jan 1, 2019",Arsenal U23,Arsenal,-,-,Eddie Nketiah
17/18,"Jul 1, 2017",Arsenal U18,Arsenal U23,-,-,Eddie Nketiah
15/16,"Jul 1, 2015",Chelsea Youth,Arsenal U18,-,free transfer,Eddie Nketiah
19/20,"Jan 30, 2020",KRC Genk,Sheff Utd,€22.00m,€23.00m,Sander Berge
16/17,"Jan 2, 2017",Vålerenga,KRC Genk,€800Th.,€2.00m,Sander Berge
14/15,"Feb 9, 2015",Asker,Vålerenga,-,?,Sander Berge
13/14,"Jan 1, 2014",Asker FH U19,Asker,-,-,Sander Berge
18/19,"Jul 1, 2018",Norwich U23,Norwich,€125Th.,-,Todd Cantwell
17/18,"Jun 30, 2018",Fortuna Sittard,Norwich U23,€125Th.,End of loan,Todd Cantwell
17/18,"Jan 28, 2018",Norwich U23,Fortuna Sittard,-,loan transfer,Todd Cantwell
15/16,"Jul 1, 2015",Norwich U18,Norwich U23,-,-,Todd Cantwell
19/20,"Jul 9, 2019",Sint-Truiden,Bologna,€9.00m,€9.00m,Takehiro Tomiyasu
17/18,"Jan 16, 2018",Avispa Fukuoka,Sint-Truiden,€350Th.,€800Th.,Takehiro Tomiyasu
15/16,"Feb 1, 2016",Avispa Youth,Avispa Fukuoka,-,-,Takehiro Tomiyasu
20/21,"Jul 1, 2020",FC Barcelona B,FC Barcelona,€9.00m,-,Riqui Puig
18/19,"Jul 1, 2018",Barça U19,FC Barcelona B,-,-,Riqui Puig
17/18,"Jul 1, 2017",Barça U18,Barça U19,-,-,Riqui Puig
15/16,"Jul 1, 2015",Barça U16,Barça U18,-,-,Riqui Puig
14/15,"Jul 1, 2014",Jabac Yth.,Barça U16,-,free transfer,Riqui Puig
18/19,"Jul 1, 2018",Heerenveen,PSV Eindhoven,€4.00m,€5.50m,Denzel Dumfries
17/18,"Jul 25, 2017",Sparta R.,Heerenveen,€1.00m,€750Th.,Denzel Dumfries
15/16,"Jul 1, 2015",Sparta U21,Sparta R.,€50Th.,-,Denzel Dumfries
14/15,"Jul 1, 2014",Barendrecht U19,Sparta U21,-,free transfer,Denzel Dumfries
13/14,"Jul 1, 2013",Smitshoek U19,Barendrecht U19,-,free transfer,Denzel Dumfries
19/20,"Jul 1, 2019",Swansea,Man Utd,€12.00m,€17.78m,Daniel James
18/19,"Jul 1, 2018",Swansea U23,Swansea,-,-,Daniel James
17/18,"Aug 31, 2017",Shrewsbury,Swansea U23,-,End of loan,Daniel James
17/18,"Jul 1, 2017",Swansea U23,Shrewsbury,-,loan transfer,Daniel James
15/16,"Jul 1, 2015",Swansea U18,Swansea U21,-,-,Daniel James
14/15,"Jul 1, 2014",Hull U18,Swansea U18,-,free transfer,Daniel James
19/20,"Aug 31, 2020",Hellas Verona,Fiorentina,€20.00m,End of loan,Sofyan Amrabat
19/20,"Jan 31, 2020",Fiorentina,Hellas Verona,€10.00m,loan transfer,Sofyan Amrabat
19/20,"Jan 30, 2020",Hellas Verona,Fiorentina,€10.00m,€10.54m,Sofyan Amrabat
19/20,"Jan 28, 2020",Club Brugge,Hellas Verona,€10.00m,€3.65m,Sofyan Amrabat
19/20,"Jan 27, 2020",Hellas Verona,Club Brugge,€10.00m,End of loan,Sofyan Amrabat
19/20,"Aug 22, 2019",Club Brugge,Hellas Verona,€3.00m,loan transfer,Sofyan Amrabat
18/19,"Aug 24, 2018",Feyenoord,Club Brugge,€4.50m,€2.50m,Sofyan Amrabat
17/18,"Jul 1, 2017",FC Utrecht,Feyenoord,€3.00m,€4.00m,Sofyan Amrabat
15/16,"Jul 1, 2015",Utrecht U21,FC Utrecht,€350Th.,-,Sofyan Amrabat
14/15,"Jul 1, 2014",FC Utrecht U19,Utrecht U21,-,-,Sofyan Amrabat
